Turbine,Annual Energy Production (GWh),Rotor + Tower (AUD),Other (AUD),Total Capital Cost (AUD),Levelised Cost of Energy (AUD/MWh)
NREL_Reference_6MW,18.937134386962274,4905989.62766216,6000000.0,10905989.62766216,57.101491375146175
NREL_Reference_8MW,26.024463634677204,6616194.128460104,8000000.0,14616194.128460104,55.59142974760224
NREL_Reference_10MW,33.20913531285603,8581653.032362219,10000000.0,18581653.03236222,55.07576641625799
DTU_Reference_v1_10MW_178,29.541314556411415,6491811.72088028,10000000.0,16491811.720880281,57.234870754478585
