Configuration,Nameplate Capacity (MW),BESS Capacity (MWh),BESS Power (MW),BESS CAPEX (AUD),Wind Farm CAPEX (AUD)),Annual Cost of Energy (AUD/kWh)
9,90.0,16685.92129583633,2085.7401619795414,5005776388.750899,167234877.29125997,1.3520531152985877
16,160.0,4061.0461885868976,507.6307735733622,1218313856.5760694,297306448.5177955,0.4503913878227058
25,250.0,3569.8688953245046,446.2336119155631,1070960668.5973513,464541325.80905545,0.4919902852578726
